2025-11-01,2025-11-01 00:33:02,1,2025-11-01 04:18:49,13547,0.54
2025-11-02,2025-11-02 15:25:14,-1,2025-11-03 02:52:56,41262,1.43
2025-11-03,2025-11-03 03:08:16,1,2025-11-03 05:24:44,8188,-1.35
2025-11-03,2025-11-03 08:02:40,-1,2025-11-03 15:51:29,28129,3.23
2025-11-03,2025-11-03 15:54:56,1,2025-11-05 11:54:11,71955,-7.64
2025-11-05,2025-11-05 13:22:44,-1,2025-11-05 16:14:28,10304,-1.81
2025-11-05,2025-11-05 16:15:14,1,2025-11-05 20:48:10,16376,2.02
2025-11-05,2025-11-05 20:55:04,-1,2025-11-06 14:43:02,64078,3.23
2025-11-06,2025-11-06 14:55:18,1,2025-11-07 07:20:51,59133,0.83
2025-11-07,2025-11-07 07:43:28,-1,2025-11-07 11:16:59,12811,2.84
2025-11-07,2025-11-07 11:30:24,1,2025-11-07 17:18:05,20861,3.24
2025-11-07,2025-11-07 18:50:05,1,2025-11-08 08:24:17,48852,0.57
2025-11-08,2025-11-08 08:31:11,-1,2025-11-08 22:40:16,50945,1.57
2025-11-08,2025-11-08 23:56:10,1,2025-11-09 18:26:18,66608,3.28
2025-11-09,2025-11-09 18:55:26,-1,2025-11-10 22:48:41,13995,-0.86
2025-11-11,2025-11-11 00:19:55,1,2025-11-11 01:10:54,3059,0.31
2025-11-11,2025-11-11 01:13:35,-1,2025-11-11 02:13:23,3588,-0.12
2025-11-11,2025-11-11 02:21:03,1,2025-11-11 08:25:59,21896,-0.68
2025-11-11,2025-11-11 08:27:31,-1,2025-11-11 15:31:52,25461,2.32
2025-11-11,2025-11-11 15:37:14,1,2025-11-11 21:35:16,21482,-1.25
2025-11-11,2025-11-11 21:54:03,-1,2025-11-12 00:47:19,10396,-0.18
2025-11-12,2025-11-12 03:55:32,-1,2025-11-12 15:42:01,42389,-0.31
2025-11-12,2025-11-12 15:47:46,1,2025-11-13 00:06:29,29923,-1.07
2025-11-13,2025-11-13 00:18:22,-1,2025-11-13 01:56:30,5888,-0.25
2025-11-13,2025-11-13 03:13:33,1,2025-11-13 06:16:47,10994,3.46
2025-11-13,2025-11-13 06:29:49,-1,2025-11-13 07:36:31,4002,-0.24
2025-11-13,2025-11-13 07:57:59,1,2025-11-13 09:44:56,6417,-1.03
2025-11-13,2025-11-13 10:03:43,-1,2025-11-13 15:23:48,19205,2.15
2025-11-13,2025-11-13 15:29:10,1,2025-11-15 09:14:38,63928,-7.39
2025-11-15,2025-11-15 09:34:11,-1,2025-11-15 16:33:33,25162,-0.40
2025-11-15,2025-11-15 23:56:41,1,2025-11-16 01:32:08,5727,-0.54
2025-11-16,2025-11-16 01:58:35,-1,2025-11-16 03:01:04,3749,-1.58
2025-11-16,2025-11-16 03:37:06,1,2025-11-16 09:38:58,21712,0.69
2025-11-16,2025-11-16 10:00:49,-1,2025-11-16 16:03:04,21735,4.49
2025-11-16,2025-11-16 16:18:24,1,2025-11-16 18:13:24,6900,0.89
2025-11-16,2025-11-16 18:15:19,-1,2025-11-16 18:47:31,1932,2.01
2025-11-16,2025-11-16 21:13:34,1,2025-11-17 07:53:21,38387,4.12
2025-11-17,2025-11-17 08:21:43,-1,2025-11-17 15:29:54,25691,1.31
2025-11-17,2025-11-17 16:25:52,1,2025-11-18 12:46:47,73255,-0.66
2025-11-18,2025-11-18 13:48:30,1,2025-11-18 14:34:07,2737,1.34
2025-11-18,2025-11-18 14:50:59,1,2025-11-18 23:30:24,31165,1.49
2025-11-19,2025-11-19 00:53:35,-1,2025-11-19 04:30:10,12995,1.14
2025-11-19,2025-11-19 05:19:14,1,2025-11-19 07:27:39,7705,0.44
